Chirality,FileName,t-SNE-x,t-SNE-y
discrete,string,continuous,continuous
class,meta,meta,meta
Chir1,s4aAAAAAABB.log.10.SpectrumVCD,0.14315830655456355,0.06487799002008568
Chir1,s4aAAAAAAII.log.10.SpectrumVCD,-0.13598985857327778,-0.038940127046173514
Chir1,s4aAAAAAAJJ.log.10.SpectrumVCD,0.001453542247601463,0.01885248189986216
Chir1,s4aAAAAABBB.log.10.SpectrumVCD,0.23745950098284122,0.06722463131079452
Chir1,s4aAAAAABII.log.10.SpectrumVCD,-0.0992205583150956,-0.03497878866517626
Chir1,s4aAAAAABJJ.log.10.SpectrumVCD,0.22565730521123784,0.15165321011733957
Chir1,s4aAAAAAGBB.log.10.SpectrumVCD,0.34501447669690666,0.07681318122940049
Chir1,s4aAAAAAGII.log.10.SpectrumVCD,0.15811204362382494,-0.21636500519230278
Chir1,s4aAAAAAGJJ.log.10.SpectrumVCD,0.2668428980467903,-0.06378946667855043
Chir1,s4aAAAAAIBB.log.10.SpectrumVCD,0.44422538085460506,-0.09700302349972638
Chir1,s4aAAAAAIII.log.10.SpectrumVCD,0.26984147309794404,-0.3736208326312552
Chir1,s4aAAAAAIJJ.log.10.SpectrumVCD,0.4663728925451784,-0.1307911328646749
Chir1,s4aAAAAAJBB.log.10.SpectrumVCD,0.26299416848787593,0.02202217144301305
Chir1,s4aAAAAAJII.log.10.SpectrumVCD,0.05142872109058824,-0.21694780718294054
Chir1,s4aAAAAAJJJ.log.10.SpectrumVCD,0.2637966943034815,-0.0041938305175347815
Chir1,s4aAAABBABB.log.10.SpectrumVCD,0.1395929046232693,-0.05024033214455107
Chir1,s4aAAABBAII.log.10.SpectrumVCD,-0.34291134582687405,0.3379694958405524
Chir1,s4aAAABBAJJ.log.10.SpectrumVCD,-0.10602169418306318,-0.05082497973084065
Chir1,s4aAAABBBBB.log.10.SpectrumVCD,0.1766948378487342,0.004267423046492445
Chir1,s4aAAABBBII.log.10.SpectrumVCD,-0.5859093461447195,-0.1014140302933929
Chir1,s4aAAABBBJJ.log.10.SpectrumVCD,-0.01889978234028164,0.003109074202601766
Chir1,s4aAAABBGBB.log.10.SpectrumVCD,0.33692492129271645,-0.24204796634489872
Chir1,s4aAAABBGII.log.10.SpectrumVCD,-0.19695196898091322,0.42707400991870387
Chir1,s4aAAABBGJJ.log.10.SpectrumVCD,0.11169573427289496,-0.24165752861529624
Chir1,s4aAAABBIBB.log.10.SpectrumVCD,0.0793519920400076,-0.41217272305304176
Chir1,s4aAAABBIII.log.10.SpectrumVCD,-0.2657711480524993,-0.3484699366457663
Chir1,s4aAAABBIJJ.log.10.SpectrumVCD,0.06809948180595476,-0.4051544457061852
Chir1,s4aAAABBJBB.log.10.SpectrumVCD,0.2720749536717036,-0.1463546900004909
Chir1,s4aAAABBJII.log.10.SpectrumVCD,-0.26186961852575513,-0.26419185358255814
Chir1,s4aAAABBJJJ.log.10.SpectrumVCD,0.11427738729794225,-0.10686092464629696
Chir1,s4aAAAIIABB.log.10.SpectrumVCD,-0.11717665928360987,-0.007540883389276003
Chir1,s4aAAAIIAII.log.10.SpectrumVCD,-0.4855311212882977,-0.04550838177544471
Chir1,s4aAAAIIAJJ.log.10.SpectrumVCD,-0.2634884587533678,0.10937002317255082
Chir1,s4aAAAIIBBB.log.10.SpectrumVCD,0.033796286347122194,-0.3146504799424089
Chir1,s4aAAAIIBII.log.10.SpectrumVCD,-0.4532763996433057,-0.061654009912823556
Chir1,s4aAAAIIBJJ.log.10.SpectrumVCD,-0.10645473750432279,0.03589155156682754
Chir1,s4aAAAIIGBB.log.10.SpectrumVCD,0.19072742765639134,-0.4621593308304354
Chir1,s4aAAAIIGII.log.10.SpectrumVCD,-0.4855397320364876,-0.4449923119227153
Chir1,s4aAAAIIGJJ.log.10.SpectrumVCD,-0.0858931238907897,-0.3288163983032565
Chir1,s4aAAAIIIBB.log.10.SpectrumVCD,0.6134498945025116,-0.07106823108160268
Chir1,s4aAAAIIIII.log.10.SpectrumVCD,0.17489155588751315,-0.25534532593202514
Chir1,s4aAAAIIIJJ.log.10.SpectrumVCD,0.6170622571698885,0.26094141519194447
Chir1,s4aAAAIIJBB.log.10.SpectrumVCD,0.33928101521720266,-0.09794053258339022
Chir1,s4aAAAIIJII.log.10.SpectrumVCD,-0.11708573708957687,-0.19558193626103013
Chir1,s4aAAAIIJJJ.log.10.SpectrumVCD,-0.009537869291705367,0.053560100564372645
Chir1,s4aAAAJJABB.log.10.SpectrumVCD,0.047613062768814114,0.042364305939141776
Chir1,s4aAAAJJAII.log.10.SpectrumVCD,-0.1584467767632525,0.31073232613638563
Chir1,s4aAAAJJAJJ.log.10.SpectrumVCD,-0.18557855076599966,0.10951629732910757
Chir1,s4aAAAJJBBB.log.10.SpectrumVCD,0.13089151302451393,0.015756283594964685
Chir1,s4aAAAJJBII.log.10.SpectrumVCD,-0.6309106260887549,-0.21212941476384173
Chir1,s4aAAAJJBJJ.log.10.SpectrumVCD,-0.21356534046297218,0.06413361137135377
Chir1,s4aAAAJJGBB.log.10.SpectrumVCD,0.3276004491900272,-0.07438212645257027
Chir1,s4aAAAJJGII.log.10.SpectrumVCD,-0.07537208090975372,-0.3396409722217324
Chir1,s4aAAAJJGJJ.log.10.SpectrumVCD,0.06594532625575854,-0.15747515442609036
Chir1,s4aAAAJJIBB.log.10.SpectrumVCD,0.4149863281231083,0.007648490585195382
Chir1,s4aAAAJJIII.log.10.SpectrumVCD,0.169883289130288,-0.1320593532011093
Chir1,s4aAAAJJIJJ.log.10.SpectrumVCD,0.18231610204970317,-0.04798860039494052
Chir1,s4aAAAJJJBB.log.10.SpectrumVCD,0.315275528392117,-0.13435246508750992
Chir1,s4aAAAJJJII.log.10.SpectrumVCD,-0.007306550801208315,-0.17062765695373483
Chir1,s4aAAAJJJJJ.log.10.SpectrumVCD,0.0443269403518869,-0.0028423625458836614
Chir1,s4aAABAAABB.log.10.SpectrumVCD,0.09721526333967008,0.02170844245053904
Chir1,s4aAABAAAII.log.10.SpectrumVCD,-0.2563015744000742,-0.09215011653871054
Chir1,s4aAABAAAJJ.log.10.SpectrumVCD,-0.08787659785549816,-0.010504351105084572
Chir1,s4aAABAABBB.log.10.SpectrumVCD,0.18883971893978166,0.10586031317364487
Chir1,s4aAABAABII.log.10.SpectrumVCD,0.15843966570795787,0.11717290631292239
Chir1,s4aAABAABJJ.log.10.SpectrumVCD,0.11619461652887611,0.15036215476417816
Chir1,s4aAABAAGBB.log.10.SpectrumVCD,0.3538872483140175,0.0709158961225478
Chir1,s4aAABAAGII.log.10.SpectrumVCD,0.3453290535173571,-0.07628514458990601
Chir1,s4aAABAAGJJ.log.10.SpectrumVCD,0.2971164492765023,-0.042250105587877444
Chir1,s4aAABAAIBB.log.10.SpectrumVCD,0.4144757614602214,0.11685299866616804
Chir1,s4aAABAAIII.log.10.SpectrumVCD,0.21205501436781343,-0.34903166136597097
Chir1,s4aAABAAIJJ.log.10.SpectrumVCD,0.3890656265769956,0.1451601955899878
