Weak Lasso,Strong Lasso,Medium Lasso,Medium Weak Lasso,Medium Strong Lasso,Quite Strong Lasso,Almost Strong Lasso,Feature
0.899469083,0,0.387642276,0.842735669,0,0.868543368,0.872360342,800
0.35949995,0,0.047261321,0.324078476,0,0.342386692,0.345955922,804
0.225727995,0,0.089894986,0.18789602,0.056689252,0.208529523,0.21239937,808
0.319289669,0,0,0.278589876,0,0.302913211,0.306697497,812
0.70825991,0,0.190243694,0.63680404,0,0.67521151,0.680329056,816
0.053237268,0,0.115306073,0.016851335,0.002856947,0.040636571,0.043464263,820
0.455987422,0,0.197295984,0.416309828,0.017024329,0.441595954,0.444264695,824
0.040930288,0,0,0.037460262,0,0.047335047,0.048116109,828
0.422845941,0,0.205430786,0.405617712,0,0.420485336,0.421975417,832
0.229453281,0,0.172822059,0.234044395,0,0.238638462,0.238595761,836
0.620544419,0,0.322638723,0.588037151,0,0.606181072,0.608374187,840
0.267560534,0,0.141402675,0.263592322,0,0.261878807,0.261238921,844
0.090641567,0,0.028301576,0.054532595,0,0.072277604,0.074950935,848
0.233695094,0,0.301687932,0.258368863,0,0.245583392,0.243804011,852
0.440136313,0,0.008498095,0.387158269,0,0.412278781,0.415851351,856
0.349843499,0,0,0.314939676,0,0.334094766,0.336632731,860
0.848293978,0,0.225739413,0.789969341,0,0.820027247,0.823564575,864
0.468682495,0,0.054434629,0.435845677,0,0.454234098,0.455789821,868
0.589963843,0,0.288032145,0.568321195,0.004631786,0.577798082,0.577927365,872
0.467064811,0,0.190894284,0.422554793,0,0.444900409,0.448900327,876
0.131432336,0,0,0.107767668,0,0.123455702,0.126364102,880
0.931062758,0,0.327858631,0.863860337,0,0.900481376,0.906171459,884
1.170354367,0,0.415928207,1.096096713,0.065067752,1.136798185,1.143364462,888
1.219637118,0,0.28287125,1.120249808,0,1.170371662,1.178008371,892
0.247395895,0,0.470522816,0.27120371,0,0.253944311,0.251582689,896
0.510896856,0,0.091205012,0.461845987,0,0.49091485,0.494308948,900
0.154907539,0,0.089644467,0.127401395,0,0.149344536,0.151808252,904
2.041497,0,0.811972446,1.90666459,0.011216424,1.976112024,1.985595018,908
0.887352281,0,0,0.801300886,0,0.851065689,0.858363856,912
1.384441592,0,0.269074791,1.279597799,0,1.335868426,1.343713365,916
1.053885577,0,0.385788911,1.009500199,0.156929018,1.038916486,1.043136983,920
1.939138767,0,0.904013338,1.857190056,0,1.900431287,1.906182006,924
0.632172714,0,0.266872157,0.627349227,0,0.637370991,0.638293043,928
2.021950612,0,0.971179237,1.930295591,0,1.976230215,1.981399196,932
0.149938521,0,0.000113038,0.150511445,0,0.15522893,0.154951686,936
1.414129495,0,0.715572476,1.345937577,0,1.377552012,1.381464026,940
1.314570024,0,0.784429782,1.244378212,0.228909314,1.272713122,1.276774183,944
0.526388548,0,0.320482745,0.512203553,0.060852373,0.519423645,0.52056486,948
0.971625105,0,0.624073606,0.920003219,0.117846781,0.939110876,0.94103416,952
1.542162072,0,0.774648544,1.463040206,0.181964475,1.498601749,1.50432608,956
0.505257847,0,0.33955255,0.48032034,0,0.490268566,0.490562827,960
1.032717265,0,0.518497496,0.971139719,0,0.996146062,1.000261176,964
0.815073497,0,0.342887792,0.771845969,0,0.79201474,0.794577025,968
0.262542751,0,0.119074424,0.264116406,0.041183413,0.26720972,0.267485198,972
1.120123095,0,0.637430549,1.08105353,0,1.099482958,1.10139273,976
0.332385681,0,0.060999993,0.293254698,0,0.311899987,0.314851787,980
0.220540159,0,0.014649278,0.196998801,0,0.212625456,0.215538841,984
1.706458257,0,0.816034443,1.604767371,0.11611149,1.653792922,1.66152457,988
0.09213555,0,0.16122706,0.062196063,0,0.079785849,0.082845281,992
0.583585768,0,0.08516854,0.523736504,0,0.552468654,0.555950449,996
0.318931969,0,0.237306609,0.308124396,0,0.309734721,0.311157346,1000
0.799418717,0,0.438811812,0.758991792,0,0.778435223,0.779701282,1004
0.119815481,0,0,0.105920653,0.117062392,0.109384008,0.11092927,1008
0.667733946,0,0.32109863,0.624937702,0,0.643896946,0.645759027,1012
0.384413715,0,0.182500893,0.366214222,0,0.373442821,0.374954208,1016
0.761569293,0,0.3587464,0.710852021,0,0.731977796,0.734080489,1020
0.703246389,0,0.44357661,0.66794108,0,0.682507869,0.68548121,1024
0.281532599,0,0.020857579,0.260506811,0.012983652,0.270327572,0.270552583,1028
1.079753823,0,0.618572105,1.018869104,0,1.042970138,1.046876868,1032
0.610152632,0,0.308456648,0.584929872,0,0.597240479,0.599057675,1036
0.972497807,0,0.420852952,0.896858509,0,0.926528511,0.929904869,1040
0.536117621,0,0.368741608,0.52255214,0,0.528356755,0.529889857,1044
1.106599313,0,0.577163057,1.047243378,0.020118793,1.07372598,1.076916474,1048
0.505814457,0,0.178159457,0.461705408,0.042017889,0.478063212,0.480308473,1052
1.379594548,0,0.924966771,1.338147178,0.071462704,1.357376156,1.359304265,1056
0.09173261,0,0.11603778,0.049309091,0,0.065380647,0.068462857,1060
1.074296965,0,0.610709944,1.04174419,0,1.056446084,1.057232518,1064
1.090589931,0,0.633439199,1.022805022,0.139929181,1.050339389,1.055391818,1068
0.126301188,0,0,0.121263047,0,0.12427756,0.124135525,1072
1.794090146,0,0.984545756,1.693581601,0,1.735098597,1.740971043,1076
0.076560482,0,0.025213526,0.079327104,0,0.07821304,0.077925946,1080
0.435450021,0,0.177428583,0.39536191,0,0.411225478,0.412982197,1084
0.630770168,0,0.353337237,0.605921737,0,0.617802541,0.619758527,1088
1.144653493,0,0.657660392,1.080580527,0.083376402,1.104875205,1.108434156,1092
0.546082728,0,0.236976738,0.519881653,0,0.533609403,0.535330828,1096
0.653710199,0,0.314302865,0.607025138,0,0.624398468,0.626710271,1100
1.099827051,0,0.712533134,1.059695476,0.252947233,1.07814089,1.08080538,1104
1.001952733,0,0.547826098,0.949581181,0,0.972136214,0.975056233,1108
0.88850611,0,0.420205837,0.831651166,0,0.854362421,0.857746649,1112
0.168893246,0,0.009994975,0.152271647,0,0.159730863,0.160415051,1116
1.234206276,0,0.690472435,1.167613128,0,1.194603658,1.198528149,1120
1.07184185,0,0.605376453,1.023341822,0,1.043861842,1.046167668,1124
0.899114426,0,0.359520084,0.837744934,0,0.864757819,0.868999502,1128
0.66450095,0,0.430580152,0.63940051,0,0.647470853,0.648069085,1132
2.123490084,0,1.106570063,1.997478158,0.161926958,2.053954901,2.062272572,1136
0.092528627,0,0.010636283,0.071924225,0.017587898,0.084243202,0.086545716,1140
2.659130904,0,1.347891554,2.506802666,0.064182781,2.574497551,2.584192018,1144
0.279198415,0,0.097878325,0.267018022,0,0.276775392,0.278506146,1148
1.912876063,0,0.955298716,1.817902059,0.015062545,1.861058925,1.867118125,1152
1.159295208,0,0.727157625,1.098958121,0.112217301,1.123265651,1.126855055,1156
0.5768102,0,0.161749773,0.532410571,0,0.55062008,0.552454931,1160
1.644854458,0,0.966464452,1.562331981,0,1.597261427,1.602556034,1164
0.905605305,0,0.341725457,0.848224349,0,0.872083359,0.875074904,1168
1.217244534,0,0.723151119,1.152066314,0,1.179249071,1.183201289,1172
1.766454409,0,1.134289909,1.700594618,0.425721298,1.729659408,1.733213908,1176
1.59842632,0,0.691283951,1.491275655,0,1.533090734,1.539261974,1180
1.407125904,0.126295051,1.016958614,1.358379416,0.351910143,1.383054899,1.386312868,1184
0.861136369,0.116527163,0.301660465,0.802032325,0,0.8236677,0.826555272,1188
1.359468669,0,0.891565828,1.299930395,0.13386172,1.326391725,1.329606962,1192
1.176975401,0,0.495577637,1.100193465,0.12398668,1.131364788,1.136087606,1196
