L2_1000,L2_35,L2_1,L2_0_030,L2_0_010,L2_0_005,L2_0_001,L1_1000,L1_35,L1_1,L1_0_030,L1_0_010,L1_0_005,L1_0_001,Feature
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,string
,,,,,,,,,,,,,,meta
9.615427145414554,4.902870743524992,0.161016017418269,0.07701094642503167,0.061459212092949,0.050879862664959564,0.028374307212838255,9.563847681895483,5.464544123115725,0.3311024141493605,0.13243424923547928,0.00016083483023832744,0.0,0.0,800cm
1.0791203422198754,0.325205384616726,0.1574098742599955,0.03962364402302736,0.044782150976632296,0.040921659453572116,0.025546470382462362,0.39474026225363806,0.1546905922970572,0.0,0.0,0.0,0.0,0.0,800.5cm
5.3308895718731195,2.459093920440113,0.1430471005920761,0.016979184248860312,0.03322845515569743,0.03344130191285645,0.02312553661886953,4.631773018158142,2.33641296511847,0.0,0.0,0.0,0.0,0.0,801cm
5.076662869971633,2.4278447865448887,0.1079503068246497,0.007590352450802934,0.026337325205691778,0.0282445147480822,0.021087133348490505,4.934299939330637,2.567568228387722,0.0,0.0,0.0,0.0,0.0,801.5cm
2.343692079110965,1.2005136442016544,0.04821677583394979,0.008810809458738616,0.023239361776880883,0.024928826192276984,0.019362959552901335,2.762118589076972,1.3210984571871385,0.0,0.0,0.04428138701428061,0.0,0.0,802cm
0.9180123675319555,0.28458637055321556,0.035060522513954064,0.01715725716090271,0.022760746961240287,0.022932246622984067,0.01784856979755725,0.10374182723414345,0.0,0.0,0.0,0.013312307045549057,0.0,0.0,802.5cm
3.1624767796116546,1.2855533240472086,0.13384679029340468,0.02866052408531811,0.023540342330725012,0.02159012124881188,0.01641448996472951,2.455153218147408,0.8022788446226315,0.0,0.0,0.0,0.0,0.0,803cm
3.5831889082824278,1.4312444594457783,0.23040590739004543,0.03923476553007792,0.02415642288081694,0.020198484211223233,0.014920047498435481,3.3111558086496733,0.9671916465089514,0.1411815850714584,0.04429589541296788,0.0,0.0,0.0,803.5cm
2.246507201942939,0.7857108847396089,0.2982228327498775,0.0451407996813095,0.02329160778432059,0.018099125153498225,0.013232988415447558,2.5426958324737874,0.6249365897960149,0.3955450049451347,0.0,0.0,0.0,0.0,804cm
0.07450891793413064,0.24950188113981633,0.30924705045835865,0.043584579982345044,0.01995227268538481,0.014795316765316332,0.011256757869446427,0.3050029354453404,0.0,0.0,0.0,0.0,0.0,0.0,804.5cm
2.2973708508295654,1.1514275847900854,0.2456597045759626,0.03335676078933209,0.013708895862987866,0.010080539716134639,0.008961225082256922,1.7975902140826785,0.381821716335395,0.0,0.0,0.0,0.0,0.0,805cm
3.487832422398301,1.5098210405117176,0.11060584532910994,0.015284638873053638,0.004873351794879768,0.004135420167199145,0.006406229654884261,3.234477897685254,0.9459430552868195,0.0,0.0,0.0,0.0,0.0,805.5cm
3.2007117972768153,1.1818802990757848,0.06824821536531804,0.007756368919874251,0.00548138191400113,0.0024578274246318432,0.0037459104115079786,3.3303238575398733,0.9967429488010761,0.0,0.0,0.0,0.0,0.0,806cm
1.592920715646467,0.3164409536117917,0.2454011872628744,0.03139748211527307,0.015709905911845134,0.008811519476974375,0.0012070423058730235,1.7793151036616701,0.18723507309938275,0.0,0.0,0.0,0.0,0.0,806.5cm
0.6992174067979159,0.7403858845244051,0.37239005366007244,0.0508045480508798,0.023965281203879845,0.01392718249654619,0.000956179296223261,0.43437976159039565,0.03303863659415533,0.03539633148323127,0.0,0.0,0.0,0.0,807cm
2.8327515622823296,1.5972166142619804,0.41454017385618197,0.06189190040043028,0.028654772266883524,0.016939116251675084,0.002519781891999017,2.569774769514056,1.2713882354523305,0.6224838297561216,0.0,0.0,0.0,0.0,807.5cm
4.0585997090917045,1.9568397260797135,0.3624734432675994,0.06235784611754693,0.028848670245272164,0.017337368659852213,0.0033440904250725467,3.982282385863222,1.9025604238931901,0.05165740597593432,0.0,0.0,0.0,0.0,808cm
3.956156042499744,1.7017130589990968,0.23415739788591483,0.05223769263429457,0.02452205744889007,0.015104342333131916,0.003408491310937428,4.0596228846716045,1.6613846762454387,0.0,0.0,0.0,0.0,0.0,808.5cm
2.5580502735069084,0.9189320812895426,0.06767969240190654,0.033826794219682224,0.016559764601841956,0.01072447048471421,0.0028165142329939245,2.7821034505115234,0.654312202956518,0.0,0.0,0.0,0.0,0.0,809cm
0.3449703289383675,0.12948730982234227,0.09172253869976713,0.011021799431387857,0.006528243785700037,0.005065925062267723,0.0017700390002670268,0.8527544284878227,0.0,0.0,0.0,0.0,0.0,0.0,809.5cm
1.9034356470599016,1.088156078028868,0.20552697874028042,0.011694123073144925,0.0037086055871244504,0.000825978049615347,0.0005212951477911634,1.3220677568168555,0.3165937890132443,0.0,0.0,0.0,0.0,0.0,810cm
3.3842178313300844,1.6306610092144753,0.2521887876907273,0.030299020553894093,0.012408283986284855,0.005958742288797429,0.0006822562076775306,2.982696806386285,1.2234239701710163,0.0,0.0,0.0,0.0,0.0,810.5cm
3.5881734818464364,1.585511826875636,0.23092059341495377,0.04201891378809413,0.018286740651466068,0.009582433212757677,0.0016448445379394507,3.473099388631044,1.471182168075087,0.17404264192589958,0.0,0.0,0.0,0.0,811cm
2.515296510652242,1.007504620524517,0.1586232811890009,0.04569874557885164,0.02070525729407774,0.0113003077983529,0.0022512016741505036,2.8578876252141283,0.9334800020217839,0.0,0.0,0.0,0.0,0.0,811.5cm
